Protein accession	Degree	Protein description	Gene name	Regulated Type	Ratio
A0A8V0Z4J0	100	Ubiquitin-ribosomal protein eS31 fusion protein OS=Gallus gallus OX=9031 GN=RPS27A PE=3 SV=1	RPS27A	Down	0.5371425042868611
A0A8V1ACS0	100	Ubiquitin-ribosomal protein eL40 fusion protein OS=Gallus gallus OX=9031 GN=UBA52 PE=1 SV=1	UBA52	Down	0.6189253246538896
A0A8V0X7H3	72	Small ribosomal subunit protein RACK1 OS=Gallus gallus OX=9031 GN=RACK1 PE=3 SV=1	RACK1	Up	3.089886742046545
A0A1D5PS29	65	Eukaryotic translation elongation factor 2 OS=Gallus gallus OX=9031 GN=EEF2 PE=1 SV=1	EEF2	Up	2.110206549893212
A0A8V0Z891	65	Small ribosomal subunit protein uS5 OS=Gallus gallus OX=9031 GN=RPS2 PE=1 SV=1	RPS2	Up	2.0318648366474226
A0A8V1A8R2	63	40S ribosomal protein S8 OS=Gallus gallus OX=9031 GN=RPS8 PE=1 SV=1	RPS8	Up	2.1175823043942885
A0A8V0Z4U8	63	Ribosomal protein L4 OS=Gallus gallus OX=9031 GN=RPL4 PE=1 SV=1	RPL4	Up	1.6373635318417226
F1NPA9	63	DNA-(apurinic or apyrimidinic site) lyase OS=Gallus gallus OX=9031 GN=RPS3 PE=1 SV=2	RPS3	Up	4.221933757032535
A0A8V0ZCS2	62	Eukaryotic translation initiation factor 2 subunit 1 OS=Gallus gallus OX=9031 GN=EIF2S1 PE=3 SV=1	EIF2S1	Up	1.7939583896008853
A0A3Q2TSP8	61	Glutamyl-prolyl-tRNA synthetase OS=Gallus gallus OX=9031 GN=EPRS PE=1 SV=1	EPRS	Up	2.3382701141589988
A0A8V0XXX0	61	Small ribosomal subunit protein eS1 OS=Gallus gallus OX=9031 GN=RPS3A PE=1 SV=1	RPS3A	Up	2.9901580851380154
P50890	60	Small ribosomal subunit protein uS2 OS=Gallus gallus OX=9031 GN=RPSA PE=3 SV=1	RPSA	Up	3.310831743628313
A0A8V0YV66	60	Ribosomal protein S4, Y-linked 1 OS=Gallus gallus OX=9031 GN=RPS4Y1 PE=3 SV=1	RPS4Y1	Up	2.3962158620579443
F1NH93	60	Small ribosomal subunit protein uS10 OS=Gallus gallus OX=9031 GN=RPS20 PE=1 SV=3	RPS20	Up	3.0527495221565566
R4GGJ0	59	40S ribosomal protein S16 OS=Gallus gallus OX=9031 GN=RPS16 PE=1 SV=1	RPS16	Up	4.741236607979697
A0A8V0ZJP1	59	Large ribosomal subunit protein uL10 OS=Gallus gallus OX=9031 GN=RPLP0 PE=3 SV=1	RPLP0	Up	5.4264279516644445
A0A8V0Z1Z1	59	Small ribosomal subunit protein eS6 OS=Gallus gallus OX=9031 GN=RPS6 PE=1 SV=1	RPS6	Up	2.5426532883049955
A0A8V0ZNA1	58	Large ribosomal subunit protein eL27 OS=Gallus gallus OX=9031 GN=RPL27 PE=3 SV=1	RPL27	Up	2.06104637484692
