GO Terms Level 1	GO Terms Level 2	Number of proteins	Related proteins
Biological Process	cellular response to stimulus	3	A0A1D5PZ68 A0A8V0Z1W6 A0A8V0ZV19
Biological Process	response to chemical	3	A0A1D5PZ68 A0A8V0Z1W6 A0A8V0ZV19
Biological Process	anatomical structure development	3	A0A1D5PZ68 A0A8V0Z1W6 A0A8V0ZV19
Biological Process	cellular developmental process	3	A0A1D5PZ68 A0A8V0Z1W6 A0A8V0ZV19
Biological Process	response to external stimulus	2	A0A1D5PZ68 A0A8V0ZV19
Biological Process	small molecule metabolic process	2	A0A8V0Z1W6 A0A8V0ZV19
Biological Process	primary metabolic process	2	A0A8V0Z1W6 A0A8V0ZV19
Biological Process	cellular metabolic process	2	A0A8V0Z1W6 A0A8V0ZV19
Biological Process	taxis	2	A0A1D5PZ68 A0A8V0ZV19
Biological Process	regulation of biological process	2	A0A1D5PZ68 A0A8V0ZV19
Biological Process	anatomical structure morphogenesis	2	A0A1D5PZ68 A0A8V0ZV19
Biological Process	cellular component organization or biogenesis	2	A0A1D5PZ68 A0A8V0ZV19
Biological Process	biosynthetic process	2	A0A8V0Z1W6 A0A8V0ZV19
Biological Process	pattern specification process	2	A0A1D5PZ68 A0A8V0ZV19
Biological Process	multicellular organism development	2	A0A1D5PZ68 A0A8V0ZV19
Biological Process	signal transduction	2	A0A1D5PZ68 A0A8V0ZV19
Biological Process	cell communication	2	A0A1D5PZ68 A0A8V0ZV19
Biological Process	response to stress	2	A0A8V0Z1W6 A0A8V0ZV19
Biological Process	nitrogen compound metabolic process	2	A0A8V0Z1W6 A0A8V0ZV19
Biological Process	organic substance metabolic process	2	A0A8V0Z1W6 A0A8V0ZV19
Biological Process	multicellular organismal reproductive process	1	A0A8V0Z1W6
Biological Process	innervation	1	A0A8V0ZV19
Biological Process	localization of cell	1	A0A1D5PZ68
Biological Process	cell motility	1	A0A1D5PZ68
Biological Process	tissue remodeling	1	A0A1D5PZ68
Biological Process	glycosylation	1	A0A8V0Z1W6
Biological Process	anatomical structure formation involved in morphogenesis	1	A0A1D5PZ68
Biological Process	morphogenesis of a branching structure	1	A0A1D5PZ68
Biological Process	developmental growth	1	A0A8V0Z1W6
Biological Process	multi-organism reproductive process	1	A0A8V0Z1W6
Biological Process	developmental process involved in reproduction	1	A0A8V0Z1W6
Biological Process	multicellular organism reproduction	1	A0A8V0Z1W6
Biological Process	cellular process involved in reproduction in multicellular organism	1	A0A8V0Z1W6
Biological Process	sexual reproduction	1	A0A8V0Z1W6
Biological Process	post-embryonic development	1	A0A1D5PZ68
Biological Process	response to endogenous stimulus	1	A0A8V0Z1W6
Biological Process	response to abiotic stimulus	1	A0A8V0Z1W6
Biological Process	cell recognition	1	A0A8V0ZV19
Biological Process	immune response	1	A0A1D5PZ68
Biological Process	system process	1	A0A8V0ZV19
Biological Process	collagen metabolic process	1	A0A8V0Z1W6
Cellular Component	extracellular region	3	A0A1D5PZ68 A0A8V0Z1W6 A0A8V0ZV19
Cellular Component	extracellular space	3	A0A1D5PZ68 A0A8V0Z1W6 A0A8V0ZV19
Cellular Component	intracellular anatomical structure	2	A0A8V0Z1W6 A0A8V0ZV19
Cellular Component	cytoplasm	2	A0A8V0Z1W6 A0A8V0ZV19
Cellular Component	endomembrane system	2	A0A8V0Z1W6 A0A8V0ZV19
Cellular Component	membrane	2	A0A8V0Z1W6 A0A8V0ZV19
Cellular Component	organelle	2	A0A8V0Z1W6 A0A8V0ZV19
Cellular Component	cell surface	1	A0A8V0ZV19
Cellular Component	organelle subcompartment	1	A0A8V0Z1W6
Cellular Component	perinuclear region of cytoplasm	1	A0A8V0Z1W6
Cellular Component	cell periphery	1	A0A8V0ZV19
Cellular Component	catalytic complex	1	A0A8V0Z1W6
Molecular Function	protein binding	2	A0A1D5PZ68 A0A8V0Z1W6
Molecular Function	transferase activity	2	A0A8V0Z1W6 A0A8V0ZV19
Molecular Function	oxidoreductase activity	1	A0A8V0Z1W6
Molecular Function	hydrolase activity	1	A0A8V0ZV19
Molecular Function	carbohydrate binding	1	A0A8V0Z1W6
Molecular Function	amide binding	1	A0A8V0Z1W6
Molecular Function	small molecule binding	1	A0A8V0Z1W6
Molecular Function	ion binding	1	A0A8V0Z1W6
Molecular Function	catalytic activity, acting on a protein	1	A0A8V0Z1W6
