GO Terms Level 1	GO Terms Level 2	Number of proteins	Related proteins
Biological Process	response to chemical	4	A0A1D5PZ68 A0A8V0Y0J2 A0A8V0Z1W6 A0A8V0ZV19
Biological Process	cellular response to stimulus	4	A0A1D5PZ68 A0A8V0Y0J2 A0A8V0Z1W6 A0A8V0ZV19
Biological Process	cellular developmental process	4	A0A1D5PZ68 A0A8V0Y0J2 A0A8V0Z1W6 A0A8V0ZV19
Biological Process	anatomical structure development	4	A0A1D5PZ68 A0A8V0Y0J2 A0A8V0Z1W6 A0A8V0ZV19
Biological Process	anatomical structure morphogenesis	3	A0A1D5PZ68 A0A8V0Y0J2 A0A8V0ZV19
Biological Process	organic substance metabolic process	3	A0A8V0Y0J2 A0A8V0Z1W6 A0A8V0ZV19
Biological Process	regulation of biological process	3	A0A1D5PZ68 A0A8V0Y0J2 A0A8V0ZV19
Biological Process	primary metabolic process	3	A0A8V0Y0J2 A0A8V0Z1W6 A0A8V0ZV19
Biological Process	cellular metabolic process	3	A0A8V0Y0J2 A0A8V0Z1W6 A0A8V0ZV19
Biological Process	response to stress	3	A0A8V0Y0J2 A0A8V0Z1W6 A0A8V0ZV19
Biological Process	nitrogen compound metabolic process	3	A0A8V0Y0J2 A0A8V0Z1W6 A0A8V0ZV19
Biological Process	response to external stimulus	3	A0A1D5PZ68 A0A8V0Y0J2 A0A8V0ZV19
Biological Process	multicellular organism development	3	A0A1D5PZ68 A0A8V0Y0J2 A0A8V0ZV19
Biological Process	signal transduction	3	A0A1D5PZ68 A0A8V0Y0J2 A0A8V0ZV19
Biological Process	cell communication	3	A0A1D5PZ68 A0A8V0Y0J2 A0A8V0ZV19
Biological Process	cellular component organization or biogenesis	3	A0A1D5PZ68 A0A8V0Y0J2 A0A8V0ZV19
Biological Process	multicellular organism reproduction	2	A0A8V0Y0J2 A0A8V0Z1W6
Biological Process	response to abiotic stimulus	2	A0A8V0Y0J2 A0A8V0Z1W6
Biological Process	taxis	2	A0A1D5PZ68 A0A8V0ZV19
Biological Process	biosynthetic process	2	A0A8V0Z1W6 A0A8V0ZV19
Biological Process	small molecule metabolic process	2	A0A8V0Z1W6 A0A8V0ZV19
Biological Process	multicellular organismal reproductive process	2	A0A8V0Y0J2 A0A8V0Z1W6
Biological Process	pattern specification process	2	A0A1D5PZ68 A0A8V0ZV19
Biological Process	immune response	2	A0A1D5PZ68 A0A8V0Y0J2
Biological Process	other	4	A0A8V0Y0J2 A0A8V0ZV19 A0A1D5PZ68 A0A8V0Z1W6
Cellular Component	extracellular region	4	A0A1D5PZ68 A0A8V0Y0J2 A0A8V0Z1W6 A0A8V0ZV19
Cellular Component	extracellular space	4	A0A1D5PZ68 A0A8V0Y0J2 A0A8V0Z1W6 A0A8V0ZV19
Cellular Component	intracellular anatomical structure	3	A0A8V0Y0J2 A0A8V0Z1W6 A0A8V0ZV19
Cellular Component	cytoplasm	3	A0A8V0Y0J2 A0A8V0Z1W6 A0A8V0ZV19
Cellular Component	endomembrane system	3	A0A8V0Y0J2 A0A8V0Z1W6 A0A8V0ZV19
Cellular Component	organelle	3	A0A8V0Y0J2 A0A8V0Z1W6 A0A8V0ZV19
Cellular Component	cell surface	2	A0A8V0Y0J2 A0A8V0ZV19
Cellular Component	membrane	2	A0A8V0Z1W6 A0A8V0ZV19
Cellular Component	perinuclear region of cytoplasm	2	A0A8V0Y0J2 A0A8V0Z1W6
Cellular Component	cell projection	1	A0A8V0Y0J2
Cellular Component	distal axon	1	A0A8V0Y0J2
Cellular Component	cell periphery	1	A0A8V0ZV19
Cellular Component	organelle subcompartment	1	A0A8V0Z1W6
Cellular Component	somatodendritic compartment	1	A0A8V0Y0J2
Cellular Component	protein-lipid complex	1	A0A8V0Y0J2
Cellular Component	membrane-enclosed lumen	1	A0A8V0Y0J2
Cellular Component	site of polarized growth	1	A0A8V0Y0J2
Cellular Component	catalytic complex	1	A0A8V0Z1W6
Molecular Function	protein binding	3	A0A1D5PZ68 A0A8V0Y0J2 A0A8V0Z1W6
Molecular Function	transferase activity	2	A0A8V0Z1W6 A0A8V0ZV19
Molecular Function	amide binding	2	A0A8V0Y0J2 A0A8V0Z1W6
Molecular Function	oxidoreductase activity	1	A0A8V0Z1W6
Molecular Function	hydrolase activity	1	A0A8V0ZV19
Molecular Function	carbohydrate binding	1	A0A8V0Z1W6
Molecular Function	small molecule binding	1	A0A8V0Z1W6
Molecular Function	ion binding	1	A0A8V0Z1W6
Molecular Function	protein-containing complex binding	1	A0A8V0Y0J2
Molecular Function	catalytic activity, acting on a protein	1	A0A8V0Z1W6
