GO Terms Level 1	GO Terms Level 2	Number of proteins	Related proteins
Biological Process	nitrogen compound metabolic process	6	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z1W6 A0A8V0Z5X2 A0A8V0ZA93 A0A8V0ZV19
Biological Process	cellular metabolic process	6	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z1W6 A0A8V0Z5X2 A0A8V0ZA93 A0A8V0ZV19
Biological Process	organic substance metabolic process	6	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z1W6 A0A8V0Z5X2 A0A8V0ZA93 A0A8V0ZV19
Biological Process	cellular response to stimulus	6	A0A1D5PZ68 A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z1W6 A0A8V0Z5X2 A0A8V0ZV19
Biological Process	regulation of biological process	6	A0A1D5PZ68 A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z5X2 A0A8V0ZA93 A0A8V0ZV19
Biological Process	cellular developmental process	6	A0A1D5PZ68 A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z1W6 A0A8V0Z5X2 A0A8V0ZV19
Biological Process	anatomical structure development	6	A0A1D5PZ68 A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z1W6 A0A8V0Z5X2 A0A8V0ZV19
Biological Process	response to chemical	6	A0A1D5PZ68 A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z1W6 A0A8V0Z5X2 A0A8V0ZV19
Biological Process	primary metabolic process	5	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z1W6 A0A8V0Z5X2 A0A8V0ZV19
Biological Process	multicellular organism development	5	A0A1D5PZ68 A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z5X2 A0A8V0ZV19
Biological Process	signal transduction	5	A0A1D5PZ68 A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z5X2 A0A8V0ZV19
Biological Process	cell communication	5	A0A1D5PZ68 A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z5X2 A0A8V0ZV19
Biological Process	response to stress	4	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z1W6 A0A8V0ZV19
Biological Process	anatomical structure morphogenesis	4	A0A1D5PZ68 A0A8V0Y0J2 A0A8V0YDD6 A0A8V0ZV19
Biological Process	response to external stimulus	4	A0A1D5PZ68 A0A8V0Y0J2 A0A8V0YDD6 A0A8V0ZV19
Biological Process	regulation of biological quality	4	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z5X2 A0A8V0ZA93
Biological Process	regulation of molecular function	4	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z5X2 A0A8V0ZA93
Biological Process	cellular component organization or biogenesis	4	A0A1D5PZ68 A0A8V0Y0J2 A0A8V0YDD6 A0A8V0ZV19
