GO Terms Level 1	GO Terms Level 2	Number of proteins	Related proteins
Molecular Function	protein-containing complex binding	4	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z3S9 A0A8V0ZKI3
Molecular Function	hydrolase activity	3	A0A8V0YUU0 A0A8V0ZA93 R4GFJ0
Molecular Function	ion binding	3	A0A8V0YDD6 A0A8V0ZA93 R4GFJ0
Molecular Function	amide binding	2	A0A8V0Y0J2 A0A8V0ZA93
Molecular Function	signaling receptor activity	2	A0A8V0XEK3 A0A8V0ZV62
Molecular Function	carbohydrate derivative binding	2	A0A8V0YDD6 A0A8V0ZA93
Molecular Function	extracellular matrix structural constituent	1	A0A8V0YDD6
Molecular Function	enzyme regulator activity	1	A0A8V0YDD6
Molecular Function	small molecule binding	1	A0A8V0ZA93
Molecular Function	catalytic activity, acting on a protein	1	R4GFJ0
Molecular Function	sulfur compound binding	1	A0A8V0YDD6
