GO Terms Level 1	GO Terms Level 2	Number of proteins	Related proteins
Biological Process	cellular response to stimulus	4	A0A8V0Z1W6 A0A8V0Y0J2 A0A8V0YMM6 A0A8V0Z5X2
Biological Process	response to chemical	4	A0A8V0Z1W6 A0A8V0Y0J2 A0A8V0YMM6 A0A8V0Z5X2
Biological Process	anatomical structure development	4	A0A8V0Z1W6 A0A8V0Y0J2 A0A8V0YMM6 A0A8V0Z5X2
Biological Process	cellular developmental process	4	A0A8V0Z1W6 A0A8V0Y0J2 A0A8V0YMM6 A0A8V0Z5X2
Biological Process	organic substance metabolic process	3	A0A8V0Z1W6 A0A8V0Y0J2 A0A8V0Z5X2
Biological Process	cellular metabolic process	3	A0A8V0Z1W6 A0A8V0Y0J2 A0A8V0Z5X2
Biological Process	multicellular organism reproduction	3	A0A8V0Z1W6 A0A8V0Y0J2 A0A8V0YMM6
Biological Process	multicellular organismal reproductive process	3	A0A8V0Z1W6 A0A8V0Y0J2 A0A8V0YMM6
Biological Process	regulation of biological process	3	A0A8V0Y0J2 A0A8V0YMM6 A0A8V0Z5X2
Biological Process	primary metabolic process	3	A0A8V0Z1W6 A0A8V0Y0J2 A0A8V0Z5X2
Biological Process	multicellular organism development	3	A0A8V0Y0J2 A0A8V0YMM6 A0A8V0Z5X2
Biological Process	signal transduction	3	A0A8V0Y0J2 A0A8V0YMM6 A0A8V0Z5X2
Biological Process	cell communication	3	A0A8V0Y0J2 A0A8V0YMM6 A0A8V0Z5X2
Biological Process	nitrogen compound metabolic process	3	A0A8V0Z1W6 A0A8V0Y0J2 A0A8V0Z5X2
Biological Process	developmental process involved in reproduction	3	A0A8V0Z1W6 A0A8V0YMM6 A0A8V0Z5X2
Biological Process	leukocyte activation	2	A0A8V0Y0J2 A0A8V0Z5X2
Biological Process	regulation of biological quality	2	A0A8V0Y0J2 A0A8V0Z5X2
Biological Process	regulation of molecular function	2	A0A8V0Y0J2 A0A8V0Z5X2
Biological Process	developmental growth	2	A0A8V0Z1W6 A0A8V0Z5X2
Biological Process	establishment of localization	2	A0A8V0Y0J2 A0A8V0Z5X2
Biological Process	cell activation	2	A0A8V0Y0J2 A0A8V0Z5X2
Biological Process	multi-organism reproductive process	2	A0A8V0Z1W6 A0A8V0YMM6
Biological Process	immune effector process	2	A0A8V0Y0J2 A0A8V0Z5X2
Biological Process	cellular process involved in reproduction in multicellular organism	2	A0A8V0Z1W6 A0A8V0YMM6
Biological Process	sexual reproduction	2	A0A8V0Z1W6 A0A8V0YMM6
Biological Process	vesicle-mediated transport	2	A0A8V0Y0J2 A0A8V0Z5X2
Biological Process	response to endogenous stimulus	2	A0A8V0Z1W6 A0A8V0YMM6
Biological Process	anatomical structure morphogenesis	2	A0A8V0Y0J2 A0A8V0YMM6
Biological Process	response to abiotic stimulus	2	A0A8V0Z1W6 A0A8V0Y0J2
Biological Process	immune response	2	A0A8V0Y0J2 A0A8V0Z5X2
Biological Process	response to stress	2	A0A8V0Z1W6 A0A8V0Y0J2
Biological Process	macromolecule localization	2	A0A8V0Y0J2 A0A8V0Z5X2
Biological Process	other	4	A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0YMM6 A0A8V0Z1W6
Cellular Component	extracellular region	5	A0A8V0Z1W6 A0A8V0ZTX8 A0A8V0Y0J2 A0A8V0YMM6 A0A8V0Z5X2
Cellular Component	extracellular space	4	A0A8V0Z1W6 A0A8V0Y0J2 A0A8V0YMM6 A0A8V0Z5X2
Cellular Component	organelle	3	A0A8V0Z1W6 A0A8V0Y0J2 A0A8V0Z5X2
Cellular Component	intracellular anatomical structure	3	A0A8V0Z1W6 A0A8V0Y0J2 A0A8V0Z5X2
Cellular Component	cytoplasm	3	A0A8V0Z1W6 A0A8V0Y0J2 A0A8V0Z5X2
Cellular Component	endomembrane system	3	A0A8V0Z1W6 A0A8V0Y0J2 A0A8V0Z5X2
Cellular Component	membrane	3	A0A8V0Z1W6 A0A8V0YMM6 A0A8V0Z5X2
Cellular Component	cell periphery	2	A0A8V0YMM6 A0A8V0Z5X2
Cellular Component	membrane-enclosed lumen	2	A0A8V0Y0J2 A0A8V0Z5X2
Cellular Component	perinuclear region of cytoplasm	2	A0A8V0Z1W6 A0A8V0Y0J2
Cellular Component	distal axon	1	A0A8V0Y0J2
Cellular Component	fusome	1	A0A8V0Z5X2
Cellular Component	organelle subcompartment	1	A0A8V0Z1W6
Cellular Component	cell projection	1	A0A8V0Y0J2
Cellular Component	somatodendritic compartment	1	A0A8V0Y0J2
Cellular Component	protein-lipid complex	1	A0A8V0Y0J2
Cellular Component	site of polarized growth	1	A0A8V0Y0J2
Cellular Component	cell surface	1	A0A8V0Y0J2
Cellular Component	catalytic complex	1	A0A8V0Z1W6
Molecular Function	protein binding	4	A0A8V0Z1W6 A0A8V0Y0J2 A0A8V0YMM6 A0A8V0Z5X2
Molecular Function	ion binding	4	A0A1D5PT25 A0A8V0Z1W6 A0A8V0YMM6 A0A8V0Z5X2
Molecular Function	amide binding	3	A0A8V0Z1W6 A0A8V0Y0J2 A0A8V0Z5X2
Molecular Function	carbohydrate derivative binding	3	A0A1D5PT25 A0A8V0YMM6 A0A8V0Z5X2
Molecular Function	lipid binding	2	A0A1D5PT25 A0A8V0Z5X2
Molecular Function	small molecule binding	2	A0A8V0Z1W6 A0A8V0Z5X2
Molecular Function	protein-containing complex binding	2	A0A8V0Y0J2 A0A8V0YMM6
Molecular Function	oxidoreductase activity	1	A0A8V0Z1W6
Molecular Function	transferase activity	1	A0A8V0Z1W6
Molecular Function	hydrolase activity	1	A0A8V0Z5X2
Molecular Function	enzyme regulator activity	1	A0A8V0Z5X2
Molecular Function	carbohydrate binding	1	A0A8V0Z1W6
Molecular Function	catalytic activity, acting on a protein	1	A0A8V0Z1W6
Molecular Function	sulfur compound binding	1	A0A8V0YMM6
