Protein accession	Degree	Protein description	Gene name	Regulated Type	Ratio
A0A8V0Z4J0	106	Ubiquitin-ribosomal protein eS31 fusion protein OS=Gallus gallus OX=9031 GN=RPS27A PE=3 SV=1	RPS27A	Down	0.5208485903653857
A0A8V0X7H3	71	Small ribosomal subunit protein RACK1 OS=Gallus gallus OX=9031 GN=RACK1 PE=3 SV=1	RACK1	Up	2.155967457689417
F1NPA9	67	DNA-(apurinic or apyrimidinic site) lyase OS=Gallus gallus OX=9031 GN=RPS3 PE=1 SV=2	RPS3	Up	3.073123314589125
A0A8V0Z891	65	Small ribosomal subunit protein uS5 OS=Gallus gallus OX=9031 GN=RPS2 PE=1 SV=1	RPS2	Up	2.318113336850521
A0A8V0XXX0	65	Small ribosomal subunit protein eS1 OS=Gallus gallus OX=9031 GN=RPS3A PE=1 SV=1	RPS3A	Up	1.76272414417678
A0A8V1A8R2	64	40S ribosomal protein S8 OS=Gallus gallus OX=9031 GN=RPS8 PE=1 SV=1	RPS8	Up	3.816769180964713
Q98TH5	64	Small ribosomal subunit protein uS17 OS=Gallus gallus OX=9031 GN=cRPS11 PE=1 SV=1	cRPS11	Down	0.6032564502765092
F1NH93	62	Small ribosomal subunit protein uS10 OS=Gallus gallus OX=9031 GN=RPS20 PE=1 SV=3	RPS20	Up	3.452223602484472
A0A8V0Z1Z1	61	Small ribosomal subunit protein eS6 OS=Gallus gallus OX=9031 GN=RPS6 PE=1 SV=1	RPS6	Up	1.7188582513509767
A0A8V0YV66	61	Ribosomal protein S4, Y-linked 1 OS=Gallus gallus OX=9031 GN=RPS4Y1 PE=3 SV=1	RPS4Y1	Up	2.533941239493171
R4GGJ0	60	40S ribosomal protein S16 OS=Gallus gallus OX=9031 GN=RPS16 PE=1 SV=1	RPS16	Up	3.207944506504973
P50890	60	Small ribosomal subunit protein uS2 OS=Gallus gallus OX=9031 GN=RPSA PE=3 SV=1	RPSA	Up	2.299771309555524
A0A1D5NVI1	60	Large ribosomal subunit protein uL6 OS=Gallus gallus OX=9031 GN=RPL9 PE=1 SV=1	RPL9	Down	0.6574437033373941
A0A3Q2TSP8	60	Glutamyl-prolyl-tRNA synthetase OS=Gallus gallus OX=9031 GN=EPRS PE=1 SV=1	EPRS	Up	3.150226127309769
Q6ITC7	59	Small ribosomal subunit protein uS15 OS=Gallus gallus OX=9031 GN=RPS13 PE=2 SV=3	RPS13	Up	2.4320848120436724
F1NN16	59	40S ribosomal protein S7 OS=Gallus gallus OX=9031 GN=RPS7 PE=1 SV=3	RPS7	Up	1.6353876682798694
A0A3Q3A7P6	58	Small ribosomal subunit protein uS8 OS=Gallus gallus OX=9031 GN=RPS15A PE=1 SV=1	RPS15A	Up	2.1405015322112018
A0A8V0ZCS2	58	Eukaryotic translation initiation factor 2 subunit 1 OS=Gallus gallus OX=9031 GN=EIF2S1 PE=3 SV=1	EIF2S1	Up	1.6031356748708068
A0A8V0ZJP1	58	Large ribosomal subunit protein uL10 OS=Gallus gallus OX=9031 GN=RPLP0 PE=3 SV=1	RPLP0	Up	2.5712144115958595
F1NQG5	56	Ribosomal protein L15 OS=Gallus gallus OX=9031 GN=RPL15 PE=1 SV=2	RPL15	Down	0.3808843495159415
A0A8V0ZUX8	56	40S ribosomal protein S26 OS=Gallus gallus OX=9031 GN=RPS26 PE=1 SV=1	RPS26	Up	1.6475896561454912
A0A8V0ZC55	55	Eukaryotic translation initiation factor 3 subunit B OS=Gallus gallus OX=9031 GN=EIF3B PE=1 SV=1	EIF3B	Up	1.6285345562648352
