GO Terms Level 1	GO Terms Level 2	Number of proteins	Related proteins
Biological Process	response to chemical	6	A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z1W6 A0A8V0ZV19 A0A8V0Y0J2 A0A8V0YMM6
Biological Process	anatomical structure development	6	A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z1W6 A0A8V0ZV19 A0A8V0Y0J2 A0A8V0YMM6
Biological Process	multicellular organism development	5	A0A8V0YDD6 A0A8V0YUU0 A0A8V0ZV19 A0A8V0Y0J2 A0A8V0YMM6
Biological Process	organic substance metabolic process	5	A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z1W6 A0A8V0ZV19 A0A8V0Y0J2
Biological Process	cellular response to stimulus	5	A0A8V0YDD6 A0A8V0Z1W6 A0A8V0ZV19 A0A8V0Y0J2 A0A8V0YMM6
Biological Process	nitrogen compound metabolic process	5	A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z1W6 A0A8V0ZV19 A0A8V0Y0J2
Biological Process	cellular metabolic process	5	A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z1W6 A0A8V0ZV19 A0A8V0Y0J2
Biological Process	primary metabolic process	5	A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z1W6 A0A8V0ZV19 A0A8V0Y0J2
Biological Process	cellular developmental process	5	A0A8V0YDD6 A0A8V0Z1W6 A0A8V0ZV19 A0A8V0Y0J2 A0A8V0YMM6
Biological Process	response to stress	4	A0A8V0YDD6 A0A8V0Z1W6 A0A8V0ZV19 A0A8V0Y0J2
Biological Process	cell communication	4	A0A8V0YDD6 A0A8V0ZV19 A0A8V0Y0J2 A0A8V0YMM6
Biological Process	signal transduction	4	A0A8V0YDD6 A0A8V0ZV19 A0A8V0Y0J2 A0A8V0YMM6
Biological Process	anatomical structure morphogenesis	4	A0A8V0YDD6 A0A8V0ZV19 A0A8V0Y0J2 A0A8V0YMM6
Biological Process	regulation of biological process	4	A0A8V0YDD6 A0A8V0ZV19 A0A8V0Y0J2 A0A8V0YMM6
Biological Process	establishment of localization	3	A0A8V0YDD6 A0A8V0YUU0 A0A8V0Y0J2
Biological Process	cell activation	3	A0A8V0YDD6 A0A8V0YUU0 A0A8V0Y0J2
Biological Process	multicellular organismal reproductive process	3	A0A8V0Z1W6 A0A8V0Y0J2 A0A8V0YMM6
Biological Process	multicellular organism reproduction	3	A0A8V0Z1W6 A0A8V0Y0J2 A0A8V0YMM6
Biological Process	vesicle-mediated transport	3	A0A8V0YDD6 A0A8V0YUU0 A0A8V0Y0J2
Biological Process	response to endogenous stimulus	3	A0A8V0YDD6 A0A8V0Z1W6 A0A8V0YMM6
Biological Process	response to external stimulus	3	A0A8V0YDD6 A0A8V0ZV19 A0A8V0Y0J2
Biological Process	cellular component organization or biogenesis	3	A0A8V0YDD6 A0A8V0ZV19 A0A8V0Y0J2
Biological Process	other	6	A0A8V0YUU0 A0A8V0Y0J2 A0A8V0Z1W6 A0A8V0ZV19 A0A8V0YMM6 A0A8V0YDD6
Cellular Component	extracellular region	7	A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z1W6 A0A8V0ZTX8 A0A8V0ZV19 A0A8V0Y0J2 A0A8V0YMM6
Cellular Component	extracellular space	6	A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z1W6 A0A8V0ZV19 A0A8V0Y0J2 A0A8V0YMM6
Cellular Component	organelle	5	A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z1W6 A0A8V0ZV19 A0A8V0Y0J2
Cellular Component	intracellular anatomical structure	5	A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z1W6 A0A8V0ZV19 A0A8V0Y0J2
Cellular Component	cytoplasm	5	A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z1W6 A0A8V0ZV19 A0A8V0Y0J2
Cellular Component	endomembrane system	5	A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z1W6 A0A8V0ZV19 A0A8V0Y0J2
Cellular Component	membrane	4	A0A8V0YDD6 A0A8V0Z1W6 A0A8V0ZV19 A0A8V0YMM6
Cellular Component	membrane-enclosed lumen	3	A0A8V0YDD6 A0A8V0YUU0 A0A8V0Y0J2
Cellular Component	cell periphery	3	A0A8V0YDD6 A0A8V0ZV19 A0A8V0YMM6
Cellular Component	cell surface	2	A0A8V0ZV19 A0A8V0Y0J2
Cellular Component	perinuclear region of cytoplasm	2	A0A8V0Z1W6 A0A8V0Y0J2
Cellular Component	distal axon	1	A0A8V0Y0J2
Cellular Component	apical part of cell	1	A0A8V0YDD6
Cellular Component	organelle subcompartment	1	A0A8V0Z1W6
Cellular Component	cell projection	1	A0A8V0Y0J2
Cellular Component	somatodendritic compartment	1	A0A8V0Y0J2
Cellular Component	protein-lipid complex	1	A0A8V0Y0J2
Cellular Component	fibrinogen complex	1	A0A8V0YDD6
Cellular Component	site of polarized growth	1	A0A8V0Y0J2
Cellular Component	catalytic complex	1	A0A8V0Z1W6
Molecular Function	protein binding	4	A0A8V0YDD6 A0A8V0Z1W6 A0A8V0Y0J2 A0A8V0YMM6
Molecular Function	ion binding	4	A0A1D5PT25 A0A8V0YDD6 A0A8V0Z1W6 A0A8V0YMM6
Molecular Function	protein-containing complex binding	3	A0A8V0YDD6 A0A8V0Y0J2 A0A8V0YMM6
Molecular Function	carbohydrate derivative binding	3	A0A1D5PT25 A0A8V0YDD6 A0A8V0YMM6
Molecular Function	transferase activity	2	A0A8V0Z1W6 A0A8V0ZV19
Molecular Function	hydrolase activity	2	A0A8V0YUU0 A0A8V0ZV19
Molecular Function	amide binding	2	A0A8V0Z1W6 A0A8V0Y0J2
Molecular Function	sulfur compound binding	2	A0A8V0YDD6 A0A8V0YMM6
Molecular Function	extracellular matrix structural constituent	1	A0A8V0YDD6
Molecular Function	lipid binding	1	A0A1D5PT25
Molecular Function	oxidoreductase activity	1	A0A8V0Z1W6
Molecular Function	enzyme regulator activity	1	A0A8V0YDD6
Molecular Function	carbohydrate binding	1	A0A8V0Z1W6
Molecular Function	small molecule binding	1	A0A8V0Z1W6
Molecular Function	catalytic activity, acting on a protein	1	A0A8V0Z1W6
