GO Terms Level 1	GO Terms Level 2	Number of proteins	Related proteins
Biological Process	anatomical structure development	3	A0A8V0YDD6 A0A8V0YUU0 A0A8V0ZV19
Biological Process	organic substance metabolic process	3	A0A8V0YDD6 A0A8V0YUU0 A0A8V0ZV19
Biological Process	nitrogen compound metabolic process	3	A0A8V0YDD6 A0A8V0YUU0 A0A8V0ZV19
Biological Process	primary metabolic process	3	A0A8V0YDD6 A0A8V0YUU0 A0A8V0ZV19
Biological Process	cellular metabolic process	3	A0A8V0YDD6 A0A8V0YUU0 A0A8V0ZV19
Biological Process	response to chemical	3	A0A8V0YDD6 A0A8V0YUU0 A0A8V0ZV19
Biological Process	multicellular organism development	3	A0A8V0YDD6 A0A8V0YUU0 A0A8V0ZV19
Biological Process	establishment of localization	2	A0A8V0YDD6 A0A8V0YUU0
Biological Process	cellular developmental process	2	A0A8V0YDD6 A0A8V0ZV19
Biological Process	cell activation	2	A0A8V0YDD6 A0A8V0YUU0
Biological Process	vesicle-mediated transport	2	A0A8V0YDD6 A0A8V0YUU0
Biological Process	regulation of biological process	2	A0A8V0YDD6 A0A8V0ZV19
Biological Process	anatomical structure morphogenesis	2	A0A8V0YDD6 A0A8V0ZV19
Biological Process	cellular component organization or biogenesis	2	A0A8V0YDD6 A0A8V0ZV19
Biological Process	cellular response to stimulus	2	A0A8V0YDD6 A0A8V0ZV19
Biological Process	signal transduction	2	A0A8V0YDD6 A0A8V0ZV19
Biological Process	cell communication	2	A0A8V0YDD6 A0A8V0ZV19
Biological Process	response to stress	2	A0A8V0YDD6 A0A8V0ZV19
Biological Process	response to external stimulus	2	A0A8V0YDD6 A0A8V0ZV19
Biological Process	anatomical structure formation involved in morphogenesis	1	A0A8V0YDD6
Biological Process	localization of cell	1	A0A8V0YDD6
Biological Process	response to other organism	1	A0A8V0YDD6
Biological Process	leukocyte migration	1	A0A8V0YDD6
Biological Process	chemical homeostasis	1	A0A8V0YDD6
Biological Process	innervation	1	A0A8V0ZV19
Biological Process	regulation of biological quality	1	A0A8V0YDD6
Biological Process	cell motility	1	A0A8V0YDD6
Biological Process	regulation of molecular function	1	A0A8V0YDD6
Biological Process	ossification	1	A0A8V0YDD6
Biological Process	leukocyte activation	1	A0A8V0YUU0
Biological Process	biological process involved in symbiotic interaction	1	A0A8V0YDD6
Biological Process	small molecule metabolic process	1	A0A8V0ZV19
Biological Process	cellular homeostasis	1	A0A8V0YDD6
Biological Process	response to activity	1	A0A8V0YDD6
Biological Process	response to endogenous stimulus	1	A0A8V0YDD6
Biological Process	response to biotic stimulus	1	A0A8V0YDD6
Biological Process	biosynthetic process	1	A0A8V0ZV19
Biological Process	cell recognition	1	A0A8V0ZV19
Biological Process	pattern specification process	1	A0A8V0ZV19
Biological Process	cell adhesion	1	A0A8V0YDD6
Biological Process	immune response	1	A0A8V0YUU0
Biological Process	system process	1	A0A8V0ZV19
Biological Process	immune effector process	1	A0A8V0YUU0
Biological Process	taxis	1	A0A8V0ZV19
Cellular Component	extracellular region	3	A0A8V0YDD6 A0A8V0YUU0 A0A8V0ZV19
Cellular Component	extracellular space	3	A0A8V0YDD6 A0A8V0YUU0 A0A8V0ZV19
Cellular Component	intracellular anatomical structure	3	A0A8V0YDD6 A0A8V0YUU0 A0A8V0ZV19
Cellular Component	cytoplasm	3	A0A8V0YDD6 A0A8V0YUU0 A0A8V0ZV19
Cellular Component	endomembrane system	3	A0A8V0YDD6 A0A8V0YUU0 A0A8V0ZV19
Cellular Component	organelle	3	A0A8V0YDD6 A0A8V0YUU0 A0A8V0ZV19
Cellular Component	membrane	2	A0A8V0YDD6 A0A8V0ZV19
Cellular Component	membrane-enclosed lumen	2	A0A8V0YDD6 A0A8V0YUU0
Cellular Component	cell periphery	2	A0A8V0YDD6 A0A8V0ZV19
Cellular Component	fibrinogen complex	1	A0A8V0YDD6
Cellular Component	cell surface	1	A0A8V0ZV19
Cellular Component	apical part of cell	1	A0A8V0YDD6
Molecular Function	hydrolase activity	2	A0A8V0YUU0 A0A8V0ZV19
Molecular Function	ion binding	2	A0A1D5PT25 A0A8V0YDD6
Molecular Function	carbohydrate derivative binding	2	A0A1D5PT25 A0A8V0YDD6
Molecular Function	extracellular matrix structural constituent	1	A0A8V0YDD6
Molecular Function	protein binding	1	A0A8V0YDD6
Molecular Function	lipid binding	1	A0A1D5PT25
Molecular Function	transferase activity	1	A0A8V0ZV19
Molecular Function	enzyme regulator activity	1	A0A8V0YDD6
Molecular Function	protein-containing complex binding	1	A0A8V0YDD6
Molecular Function	sulfur compound binding	1	A0A8V0YDD6
