GO Terms Level 1	GO Terms Level 2	Number of proteins	Related proteins
Biological Process	multicellular organism reproduction	3	A0A8V0Z1W6 A0A8V0Y0J2 A0A8V0YMM6
Biological Process	cellular response to stimulus	3	A0A8V0Z1W6 A0A8V0Y0J2 A0A8V0YMM6
Biological Process	cellular developmental process	3	A0A8V0Z1W6 A0A8V0Y0J2 A0A8V0YMM6
Biological Process	anatomical structure development	3	A0A8V0Z1W6 A0A8V0Y0J2 A0A8V0YMM6
Biological Process	multicellular organismal reproductive process	3	A0A8V0Z1W6 A0A8V0Y0J2 A0A8V0YMM6
Biological Process	response to chemical	3	A0A8V0Z1W6 A0A8V0Y0J2 A0A8V0YMM6
Biological Process	nitrogen compound metabolic process	2	A0A8V0Z1W6 A0A8V0Y0J2
Biological Process	regulation of biological process	2	A0A8V0Y0J2 A0A8V0YMM6
Biological Process	multi-organism reproductive process	2	A0A8V0Z1W6 A0A8V0YMM6
Biological Process	primary metabolic process	2	A0A8V0Z1W6 A0A8V0Y0J2
Biological Process	cellular metabolic process	2	A0A8V0Z1W6 A0A8V0Y0J2
Biological Process	developmental process involved in reproduction	2	A0A8V0Z1W6 A0A8V0YMM6
Biological Process	cellular process involved in reproduction in multicellular organism	2	A0A8V0Z1W6 A0A8V0YMM6
Biological Process	sexual reproduction	2	A0A8V0Z1W6 A0A8V0YMM6
Biological Process	response to endogenous stimulus	2	A0A8V0Z1W6 A0A8V0YMM6
Biological Process	anatomical structure morphogenesis	2	A0A8V0Y0J2 A0A8V0YMM6
Biological Process	response to abiotic stimulus	2	A0A8V0Z1W6 A0A8V0Y0J2
Biological Process	multicellular organism development	2	A0A8V0Y0J2 A0A8V0YMM6
Biological Process	signal transduction	2	A0A8V0Y0J2 A0A8V0YMM6
Biological Process	cell communication	2	A0A8V0Y0J2 A0A8V0YMM6
Biological Process	response to stress	2	A0A8V0Z1W6 A0A8V0Y0J2
Biological Process	organic substance metabolic process	2	A0A8V0Z1W6 A0A8V0Y0J2
Biological Process	other	3	A0A8V0Y0J2 A0A8V0YMM6 A0A8V0Z1W6
Cellular Component	extracellular region	4	A0A8V0Z1W6 A0A8V0ZTX8 A0A8V0Y0J2 A0A8V0YMM6
Cellular Component	extracellular space	3	A0A8V0Z1W6 A0A8V0Y0J2 A0A8V0YMM6
Cellular Component	intracellular anatomical structure	2	A0A8V0Z1W6 A0A8V0Y0J2
Cellular Component	cytoplasm	2	A0A8V0Z1W6 A0A8V0Y0J2
Cellular Component	endomembrane system	2	A0A8V0Z1W6 A0A8V0Y0J2
Cellular Component	membrane	2	A0A8V0Z1W6 A0A8V0YMM6
Cellular Component	perinuclear region of cytoplasm	2	A0A8V0Z1W6 A0A8V0Y0J2
Cellular Component	organelle	2	A0A8V0Z1W6 A0A8V0Y0J2
Cellular Component	cell projection	1	A0A8V0Y0J2
Cellular Component	distal axon	1	A0A8V0Y0J2
Cellular Component	cell periphery	1	A0A8V0YMM6
Cellular Component	organelle subcompartment	1	A0A8V0Z1W6
Cellular Component	somatodendritic compartment	1	A0A8V0Y0J2
Cellular Component	protein-lipid complex	1	A0A8V0Y0J2
Cellular Component	membrane-enclosed lumen	1	A0A8V0Y0J2
Cellular Component	site of polarized growth	1	A0A8V0Y0J2
Cellular Component	cell surface	1	A0A8V0Y0J2
Cellular Component	catalytic complex	1	A0A8V0Z1W6
Molecular Function	protein binding	3	A0A8V0Z1W6 A0A8V0Y0J2 A0A8V0YMM6
Molecular Function	ion binding	3	A0A1D5PT25 A0A8V0Z1W6 A0A8V0YMM6
Molecular Function	amide binding	2	A0A8V0Z1W6 A0A8V0Y0J2
Molecular Function	protein-containing complex binding	2	A0A8V0Y0J2 A0A8V0YMM6
Molecular Function	carbohydrate derivative binding	2	A0A1D5PT25 A0A8V0YMM6
Molecular Function	lipid binding	1	A0A1D5PT25
Molecular Function	oxidoreductase activity	1	A0A8V0Z1W6
Molecular Function	transferase activity	1	A0A8V0Z1W6
Molecular Function	carbohydrate binding	1	A0A8V0Z1W6
Molecular Function	small molecule binding	1	A0A8V0Z1W6
Molecular Function	catalytic activity, acting on a protein	1	A0A8V0Z1W6
Molecular Function	sulfur compound binding	1	A0A8V0YMM6
