short_name,structure,species,model,n_candidates,n_hotspots,hotspot_frac,n_shielded_cands,shielded_sasa_delta,hotspot_sasa_mean,hotspot_sasa_std,iface_full_sasa,iface_alone_sasa,iface_shielding
A1,Anas_G20030CU,Anas,1,90,68,0.7555555555555555,14,9.435265442317796,45.60960703289872,37.441120001114754,37.35900416479721,40.65934782608696,3.3003436612897445
A1,Anas_G20030CU,Anas,2,90,68,0.7555555555555555,13,9.272021577942112,45.875995609966346,37.56682340479436,37.675978297173806,40.65934782608696,2.983369528913151
A1,Anas_G20030CU,Anas,3,90,68,0.7555555555555555,13,9.272021577942112,45.875995609966346,37.56682340479436,37.675978297173806,40.65934782608696,2.983369528913151
A1,Anas_G20030CU,Anas,4,90,68,0.7555555555555555,14,9.435265442317796,45.52919612093441,37.27189548244733,35.60670946242447,40.65934782608696,5.0526383636624885
A1,Anas_G20030CU,Anas,5,90,68,0.7555555555555555,13,9.272021577942112,45.69001794486303,37.63234732252253,37.55582665814061,40.65934782608696,3.1035211679463472
A1,Anas_G20030CU,Anas,6,90,68,0.7555555555555555,13,9.272021577942112,45.4487852089701,37.12497464986037,37.85438648797785,40.65934782608696,2.804961338109109
A1,Anas_G20030CU,Anas,7,90,68,0.7555555555555555,14,9.435265442317796,45.60960703289872,37.441120001114754,37.35900416479721,40.65934782608696,3.3003436612897445
A1,Anas_G20030CU,Anas,8,90,68,0.7555555555555555,13,9.272021577942112,45.875995609966346,37.56682340479436,37.675978297173806,40.65934782608696,2.983369528913151
A1,Anas_G20030CU,Anas,9,90,68,0.7555555555555555,13,9.272021577942112,45.4487852089701,37.12497464986037,37.85438648797785,40.65934782608696,2.804961338109109
A1,Anas_G20030CU,Anas,10,90,68,0.7555555555555555,13,9.272021577942112,45.70678850564616,37.198315224075735,36.25706026802139,40.65934782608696,4.402287558065567
A1,Anas_G20030CU,Anas,11,90,68,0.7555555555555555,14,9.435265442317796,45.60960703289872,37.441120001114754,37.35900416479721,40.65934782608696,3.3003436612897445
A1,Anas_G20030CU,Anas,12,90,68,0.7555555555555555,14,9.003969650874968,45.706788505646166,37.415531292575245,37.57656116965429,40.65934782608696,3.082786656432667
A1,Anas_G20030CU,Anas,13,90,68,0.7555555555555555,13,9.272021577942112,45.69001794486303,37.63234732252253,37.66561104141696,40.65934782608696,2.9937367846699985
A1,Anas_G20030CU,Anas,14,90,68,0.7555555555555555,13,9.272021577942112,45.60960703289872,37.452421261399614,37.66359927972133,40.65934782608696,2.995748546365625
A1,Anas_G20030CU,Anas,15,90,68,0.7555555555555555,13,9.272021577942112,45.60960703289872,37.452421261399614,37.76100464554521,40.65934782608696,2.898343180541744
A1,Anas_G20030CU,Anas,16,90,68,0.7555555555555555,13,9.272021577942112,45.52081084054284,37.266231708709256,37.34662514734474,40.65934782608696,3.312722678742219
A1,Anas_G20030CU,Anas,17,90,68,0.7555555555555555,14,9.435265442317796,45.60960703289872,37.441120001114754,37.34662514734474,40.65934782608696,3.312722678742219
A1,Anas_G20030CU,Anas,18,90,68,0.7555555555555555,13,9.272021577942112,45.875995609966346,37.56682340479436,37.57857293134992,40.65934782608696,3.08077489473704
