Protein accession	Degree	Protein description	Gene name	Regulated Type	Ratio
A0A1D5NYA8	4	DnaJ heat shock protein family (Hsp40) member A4 OS=Gallus gallus OX=9031 GN=DNAJA4 PE=1 SV=2	DNAJA4	Up	1.5188916148589633
A0A8V0YRF2	4	E3 ubiquitin-protein ligase XIAP OS=Gallus gallus OX=9031 GN=BIRC8 PE=1 SV=1	BIRC8	Up	8.27852188016356
F1NCA2	4	Glycerol-3-phosphate dehydrogenase OS=Gallus gallus OX=9031 GN=GPD2 PE=1 SV=2	GPD2	Down	0.24471750825191274
A0A1D5PM19	4	Myosin-9 OS=Gallus gallus OX=9031 GN=MYH9 PE=1 SV=2	MYH9	Down	0.6500490886921823
A0A8V0YMC5	4	DAB adaptor protein 2 OS=Gallus gallus OX=9031 GN=DAB2 PE=1 SV=1	DAB2	Down	0.6361681234786458
A0A1D5PGR9	4	Hexosyltransferase OS=Gallus gallus OX=9031 GN=B3GNT5 PE=3 SV=1	B3GNT5	Down	0.6033536277465987
A0A8V0X1D0	3	Importin subunit alpha OS=Gallus gallus OX=9031 GN=KPNA4 PE=1 SV=1	KPNA4	Down	0.622170282746987
A0A1D5PSI2	3	Inosine-5'-monophosphate dehydrogenase OS=Gallus gallus OX=9031 GN=IMPDH2 PE=1 SV=1	IMPDH2	Down	0.519132674346808
F1NNL1	3	Transmembrane protein 231 OS=Gallus gallus OX=9031 GN=TMEM231 PE=3 SV=2	TMEM231	Down	0.6101949523752551
Q5ZLG1	3	Ras-related protein Rab-18 OS=Gallus gallus OX=9031 GN=RAB18 PE=2 SV=1	RAB18	Down	0.5135586213824036
A0A8V0Z086	3	GM2 ganglioside activator OS=Gallus gallus OX=9031 GN=GM2A PE=1 SV=1	GM2A	Up	2.0787137521236767
A0A8V0YPT3	3	Sulfurtransferase OS=Gallus gallus OX=9031 GN=MPST PE=1 SV=1	MPST	Down	0.3421014244920328
A0A8V0Y711	3	C21orf59 homolog OS=Gallus gallus OX=9031 GN=C21orf59 PE=1 SV=1	C21orf59	Down	0.6499676617496941
A0A8V0ZRV9	3	Mannose receptor C type 2 OS=Gallus gallus OX=9031 GN=MRC2 PE=1 SV=1	MRC2	Up	1.7134507354002977
A0A8V0ZCN4	3	GCN1 activator of EIF2AK4 OS=Gallus gallus OX=9031 GN=GCN1 PE=1 SV=1	GCN1	Down	0.3938323933000447
A0A1D5PBY3	3	Thioredoxin-dependent peroxide reductase, mitochondrial OS=Gallus gallus OX=9031 GN=PRDX3 PE=1 SV=2	PRDX3	Down	0.5386812011263322
A0A452J806	3	Obg-like ATPase 1 OS=Gallus gallus OX=9031 GN=OLA1 PE=1 SV=1	OLA1	Down	0.4491345941717976
A0A8V0YKG2	3	Dynein regulatory complex protein 9 OS=Gallus gallus OX=9031 GN=IQCG PE=3 SV=1	IQCG	Down	0.37861428523786
R4GGQ4	3	Mitochondrial import inner membrane translocase subunit OS=Gallus gallus OX=9031 GN=TIMM13 PE=1 SV=2	TIMM13	Up	24.116302058709763
A0A8V1AJV5	3	Na(+)/H(+) exchange regulatory cofactor NHE-RF OS=Gallus gallus OX=9031 GN=SLC9A3R1 PE=1 SV=1	SLC9A3R1	Down	0.4939233812582586
A0A146F047	3	Keratin, type II cytoskeletal 5 OS=Gallus gallus OX=9031 GN=KRT6A PE=1 SV=1	KRT6A	Down	0.0872298447948828
A0A146F0A0	3	Keratin 7 OS=Gallus gallus OX=9031 GN=otokeratin PE=1 SV=1	otokeratin	Down	0.3850955998847761
A0A8V0YSC2	3	BPI fold containing family B member 6 OS=Gallus gallus OX=9031 GN=LOC107049084 PE=4 SV=1	LOC107049084	Up	1.7223985982218184
A0A8V0WZN3	3	Galactose-3-O-sulfotransferase 1 OS=Gallus gallus OX=9031 GN=GAL3ST1 PE=3 SV=1	GAL3ST1	Up	1.6551983615090409
A0A8V1ABA3	3	Glucosylceramidase OS=Gallus gallus OX=9031 GN=LOC107050229 PE=1 SV=1	LOC107050229	Up	1.5161058943099313
P02552	3	Tubulin alpha-1A chain OS=Gallus gallus OX=9031 GN=TUBA1A PE=1 SV=2	TUBA1A	Down	0.5982006267033879
A0A8V0ZHL4	3	Prolyl 4-hydroxylase subunit alpha 1 OS=Gallus gallus OX=9031 GN=P4HA1 PE=1 SV=1	P4HA1	Up	1.6531402763916847
A0A8V0YC89	3	N-acetylglucosamine-6-sulfatase OS=Gallus gallus OX=9031 GN=GNS PE=1 SV=1	GNS	Up	1.7736656039897731
A0A8V0Y9F9	3	Avian beta-defensin 11 OS=Gallus gallus OX=9031 GN=AvBD11 PE=1 SV=1	AvBD11	Down	0.009192782697535387
A0A8V0ZEJ3	3	SH2 domain containing 6 OS=Gallus gallus OX=9031 GN=SH2D6 PE=4 SV=1	SH2D6	Up	1.9726401937756897
A0A8V0XTM2	3	3'-phosphoadenosine 5'-phosphosulfate synthase 1 OS=Gallus gallus OX=9031 GN=PAPSS1 PE=1 SV=1	PAPSS1	Down	0.6628855373127996
A0A8V0X895	3	ATP-dependent RNA helicase DDX1 OS=Gallus gallus OX=9031 GN=DDX1 PE=1 SV=1	DDX1	Down	0.2984141809582481
A0A8V0Z399	3	Hemoglobin alpha, subunit D OS=Gallus gallus OX=9031 GN=HBAD PE=3 SV=1	HBAD	Down	0.3609073665529677
P0CB50	3	Peroxiredoxin-1 OS=Gallus gallus OX=9031 GN=PRDX1 PE=1 SV=1	PRDX1	Down	0.5306516248095533
A0A1D5PFB8	3	Dynactin subunit 2 OS=Gallus gallus OX=9031 GN=DCTN2 PE=1 SV=2	DCTN2	Down	0.5714654705669056
A0A1D5PGC2	3	SAMM50 sorting and assembly machinery component OS=Gallus gallus OX=9031 GN=SAMM50 PE=1 SV=2	SAMM50	Up	1.6479201866602302
A0A8V0Z8R3	3	cAMP-dependent protein kinase type II-alpha regulatory subunit OS=Gallus gallus OX=9031 GN=PRKAR2A PE=1 SV=1	PRKAR2A	Down	0.6425839785214784
A0A8V0ZBD1	3	Serine/threonine protein phosphatase 2A regulatory subunit OS=Gallus gallus OX=9031 GN=PPP2R5A PE=1 SV=1	PPP2R5A	Down	0.5436507936507936
A0A8V0ZTF7	3	Isovaleryl-CoA dehydrogenase, mitochondrial OS=Gallus gallus OX=9031 GN=IVD PE=1 SV=1	IVD	Down	0.3692399790559852
A0A8V1A9K7	3	Guanine nucleotide-binding protein subunit gamma OS=Gallus gallus OX=9031 GN=GNG7 PE=1 SV=1	GNG7	Down	0.5581384639564648
A0A8V1A102	3	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex OS=Gallus gallus OX=9031 GN=PDHX PE=1 SV=1	PDHX	Down	0.2580565221196989
A0A8V0X4D8	3	furin OS=Gallus gallus OX=9031 GN=FURIN PE=3 SV=1	FURIN	Up	1.5288593837397777
A0A1D5PNL3	3	E2 ubiquitin-conjugating enzyme OS=Gallus gallus OX=9031 GN=UBE2N PE=1 SV=1	UBE2N	Down	0.5609445893234711
A0A8V1AGP0	3	Beta-2-glycoprotein 1 OS=Gallus gallus OX=9031 GN=APOH PE=1 SV=1	APOH	Down	0.5835748280866118
A0A8V0Y1R9	3	Cysteine rich with EGF like domains 2 OS=Gallus gallus OX=9031 GN=CRELD2 PE=1 SV=1	CRELD2	Down	0.6621669954146614
A0A8V1A472	3	Tropomyosin 3 OS=Gallus gallus OX=9031 GN=TPM3 PE=1 SV=1	TPM3	Down	0.5249515941654833
A0A8V0X7B2	3	glutathione transferase OS=Gallus gallus OX=9031 GN=LOC100859645 PE=1 SV=1	LOC100859645	Down	0.3685523356335205
A0A1L1RX77	3	Decorin OS=Gallus gallus OX=9031 GN=DCN PE=3 SV=2	DCN	Up	1.8489677839022216
A0A8V1A3N1	3	receptor protein-tyrosine kinase OS=Gallus gallus OX=9031 GN=MST1R PE=1 SV=1	MST1R	Up	1.5060463368978765
P01994	3	Hemoglobin subunit alpha-A OS=Gallus gallus OX=9031 GN=HBAA PE=1 SV=2	HBAA	Down	0.5232210458774463
A0A1D5P6T3	3	Tyrosine-protein kinase receptor OS=Gallus gallus OX=9031 GN=INSR PE=3 SV=2	INSR	Up	1.5026223630590012
E1C9J2	3	Mesencephalic astrocyte derived neurotrophic factor OS=Gallus gallus OX=9031 GN=MANF PE=1 SV=3	MANF	Down	0.5416530578030015
Q5ZLR1	3	Protein wntless homolog OS=Gallus gallus OX=9031 GN=WLS PE=2 SV=1	WLS	Down	0.5554569299662763
A0A8V0X9Y5	3	Adhesion G protein-coupled receptor L3 OS=Gallus gallus OX=9031 GN=ADGRL3 PE=4 SV=1	ADGRL3	Down	0.5695201323898915
A0A1D5NT70	3	glutathione transferase OS=Gallus gallus OX=9031 GN=LOC395611 PE=1 SV=1	LOC395611	Down	0.40725159310833137
F1NGB8	3	Exostosin like glycosyltransferase 3 OS=Gallus gallus OX=9031 GN=EXTL3 PE=1 SV=2	EXTL3	Up	2.420240850904705
F1NYJ1	3	Cathepsin V OS=Gallus gallus OX=9031 GN=CTSV PE=1 SV=2	CTSV	Down	0.5691472951592224
A0A1L4FLS3	3	Toll-like receptor 3 OS=Gallus gallus OX=9031 GN=TLR3 PE=1 SV=1	TLR3	Up	1.5390929378113134
A0A1D5Q032	3	Adenylyl cyclase-associated protein OS=Gallus gallus OX=9031 GN=CAP1 PE=1 SV=2	CAP1	Down	0.5527439687462241
A0A3Q2U511	3	Cytohesin 3 OS=Gallus gallus OX=9031 GN=CYTH3 PE=4 SV=1	CYTH3	Down	0.4727085539216762
A0A8V1ABW1	3	Aldehyde dehydrogenase, mitochondrial OS=Gallus gallus OX=9031 GN=ALDH2 PE=1 SV=1	ALDH2	Down	0.3905570633166392
A0A8V0YVE0	3	Thioredoxin domain-containing protein 9 OS=Gallus gallus OX=9031 GN=TXNDC9 PE=1 SV=1	TXNDC9	Down	0.6200663289808716
Q5ZLF6	3	Transmembrane p24 trafficking protein 7 OS=Gallus gallus OX=9031 GN=TMED7 PE=1 SV=1	TMED7	Down	0.44586677766457106
A0A8V0ZU31	3	Tectonic family member 2 OS=Gallus gallus OX=9031 GN=TCTN2 PE=3 SV=1	TCTN2	Down	0.6035428521784458
P02789	3	Ovotransferrin OS=Gallus gallus OX=9031 PE=1 SV=2	--	Down	0.13788755215635573
A0A8V0YYZ7	3	Fibroblast growth factor receptor OS=Gallus gallus OX=9031 GN=FGFR3 PE=3 SV=1	FGFR3	Down	0.6129208062791729
F1NJR9	3	Epiregulin OS=Gallus gallus OX=9031 GN=EREG PE=4 SV=1	EREG	Down	0.6136404404736725
A0A3Q3B012	3	Leucine zipper transcription factor-like protein 1 OS=Gallus gallus OX=9031 GN=LZTFL1 PE=1 SV=1	LZTFL1	Down	0.6606678302788513
P17153	3	Annexin A5 OS=Gallus gallus OX=9031 GN=ANXA5 PE=1 SV=2	ANXA5	Down	0.6435618243874611
A0A8V0XYK6	3	Ankyrin 3 OS=Gallus gallus OX=9031 GN=ANK3 PE=1 SV=1	ANK3	Up	1.7082703874602485
A0A8V0YWI5	3	Cholecystokinin OS=Gallus gallus OX=9031 GN=CCK PE=3 SV=1	CCK	Up	1.5564160853447442
A0A8V0ZZZ5	3	Thy-1 membrane glycoprotein OS=Gallus gallus OX=9031 GN=THY1 PE=1 SV=1	THY1	Up	1.831296157551108
A0A8V0YGQ5	3	Suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudo 5 OS=Gallus gallus OX=9031 GN=ST13P5 PE=3 SV=1	ST13P5	Up	1.6262300948291286
A0A8V0ZM89	2	Trichoplein keratin filament-binding protein OS=Gallus gallus OX=9031 GN=TCHP PE=1 SV=1	TCHP	Down	0.5443095741776989
A0A1D5PFM9	2	Gastrokine 2 OS=Gallus gallus OX=9031 GN=GKN2 PE=4 SV=1	GKN2	Down	0.4138335765582396
A0A8V1A555	2	Nicastrin OS=Gallus gallus OX=9031 GN=NCSTN PE=1 SV=1	NCSTN	Down	0.6588480534250784
A0A8V0ZHX5	2	von Willebrand factor A domain containing 2 OS=Gallus gallus OX=9031 GN=VWA2 PE=4 SV=1	VWA2	Up	2.1425825795043947
A0A8V1A758	2	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 4 OS=Gallus gallus OX=9031 GN=ST6GALNAC4 PE=3 SV=1	ST6GALNAC4	Down	0.40424642049736254
A0A8V1A3I2	2	Neural cell adhesion molecule 1 OS=Gallus gallus OX=9031 GN=NCAM1 PE=1 SV=1	NCAM1	Down	0.6236670497819763
A0A8V1A9K2	2	Endonuclease OS=Gallus gallus OX=9031 GN=ENDOG PE=1 SV=1	ENDOG	Down	0.6388101575839805
A0A8V0YIC3	2	Exocyst complex component 2 OS=Gallus gallus OX=9031 GN=EXOC2 PE=1 SV=1	EXOC2	Up	1.6532754137086811
A0A8V0WZB7	2	Microtubule associated protein 1A OS=Gallus gallus OX=9031 GN=MAP1A PE=1 SV=1	MAP1A	Down	0.4134814597301751
A0A8V0YSF6	2	Legumain OS=Gallus gallus OX=9031 GN=LGMN PE=1 SV=1	LGMN	Up	1.9386925668410864
A0A8V0ZSD7	2	Lysosomal acid phosphatase OS=Gallus gallus OX=9031 GN=ACP2 PE=1 SV=1	ACP2	Up	1.5167983012388566
A0A8V0X354	2	Nitric oxide synthase OS=Gallus gallus OX=9031 GN=NOS1 PE=3 SV=1	NOS1	Down	0.6454917063903132
A0A1D5P797	2	Spectrin beta chain OS=Gallus gallus OX=9031 GN=SPTBN1 PE=1 SV=2	SPTBN1	Down	0.5718434691169475
A0A1D5PXH0	2	AP complex subunit beta OS=Gallus gallus OX=9031 GN=AP1B1 PE=1 SV=2	AP1B1	Down	0.5941792447111596
A0A1D5NTC1	2	Phospholipase A2 OS=Gallus gallus OX=9031 GN=PLA2G4A PE=1 SV=1	PLA2G4A	Down	0.6497875207603152
A0A8V0ZSC5	2	Lysosomal phospholipase A and acyltransferase OS=Gallus gallus OX=9031 GN=PLA2G15 PE=1 SV=1	PLA2G15	Up	2.4613005704847857
A0A8V0XWD4	2	Cathepsin O OS=Gallus gallus OX=9031 GN=CTSO PE=3 SV=1	CTSO	Up	1.7911856363765135
E1BY06	2	BRO1 domain-containing protein BROX OS=Gallus gallus OX=9031 GN=BROX PE=1 SV=3	BROX	Down	0.5636314003821705
A0A8V0Z6S1	2	Polypeptide N-acetylgalactosaminyltransferase OS=Gallus gallus OX=9031 GN=GALNT16 PE=1 SV=1	GALNT16	Up	1.6154507190459486
F1NXH1	2	Mitochondrial amidoxime reducing component 1 OS=Gallus gallus OX=9031 GN=MARC1 PE=1 SV=2	MARC1	Down	0.4630730642075301
E1BXU3	2	Ropporin-1-like protein OS=Gallus gallus OX=9031 GN=ROPN1L PE=3 SV=2	ROPN1L	Down	0.4750425981608452
A0A8V0ZFJ4	2	Tissue factor OS=Gallus gallus OX=9031 GN=F3 PE=1 SV=1	F3	Down	0.4842530651954282
A0A8V0ZXC9	2	Exostosin like glycosyltransferase 2 OS=Gallus gallus OX=9031 GN=EXTL2 PE=1 SV=1	EXTL2	Up	1.8688791920308243
A0A1D5P1T0	2	RAS like proto-oncogene A OS=Gallus gallus OX=9031 GN=RALA PE=1 SV=1	RALA	Down	0.5670619171847247
A0A8V0XL89	2	Serine/threonine-protein phosphatase OS=Gallus gallus OX=9031 GN=PPP3CA PE=1 SV=1	PPP3CA	Down	0.6229049550755378
A0A8V0XWJ5	2	YLP motif containing 1 OS=Gallus gallus OX=9031 GN=YLPM1 PE=1 SV=1	YLPM1	Down	0.4484878810424504
Q05744	2	Cathepsin D OS=Gallus gallus OX=9031 GN=CTSD PE=1 SV=1	CTSD	Up	2.19817427077626
A0A8V0ZTN5	2	Uncharacterized protein OS=Gallus gallus OX=9031 PE=4 SV=1	--	Up	1.5887212784856894
A0A1D5PPP2	2	Pseudouridine 5'-phosphatase OS=Gallus gallus OX=9031 GN=PUDP PE=1 SV=1	PUDP	Down	0.6040772311800349
A0A1D5NZN4	2	Follistatin like 3 OS=Gallus gallus OX=9031 GN=FSTL3 PE=4 SV=1	FSTL3	Down	0.6298900677139019
A0A1D5P480	2	Insulin-like growth factor-binding protein 4 OS=Gallus gallus OX=9031 GN=IGFBP4 PE=4 SV=2	IGFBP4	Up	1.6093928016882912
A0A8V1AFZ6	2	Heteroous nuclear ribonucleoprotein M OS=Gallus gallus OX=9031 GN=HNRNPM PE=1 SV=1	HNRNPM	Down	0.3944520815392104
R4GFJ0	2	Carboxypeptidase E OS=Gallus gallus OX=9031 GN=CPE PE=1 SV=2	CPE	Down	0.3077309981151655
A0A8V0YRQ0	2	BPI fold containing family B member 3 OS=Gallus gallus OX=9031 GN=BPIFB3 PE=1 SV=1	BPIFB3	Up	1.5489089744282438
Q98938	2	Indian hedgehog protein OS=Gallus gallus OX=9031 GN=IHH PE=2 SV=1	IHH	Up	1.669108182488946
A0A8V0ZG63	2	Dynein axonemal light chain 1 OS=Gallus gallus OX=9031 GN=DNAL1 PE=4 SV=1	DNAL1	Down	0.4038291484410659
A0A8V0XKW4	2	HtrA serine peptidase 2 OS=Gallus gallus OX=9031 GN=HTRA2 PE=1 SV=1	HTRA2	Up	4.168350890924123
A0A8V1ALI6	2	Lysosomal alpha-glucosidase OS=Gallus gallus OX=9031 GN=GAA PE=3 SV=1	GAA	Up	2.3776025973706543
A0A8V0Z3U6	2	Ninein OS=Gallus gallus OX=9031 GN=NIN PE=4 SV=1	NIN	Up	4.149742521552971
A0A8V0X4Q2	2	SEC14-like protein 2 OS=Gallus gallus OX=9031 GN=SEC14L2 PE=4 SV=1	SEC14L2	Down	0.6626546535759897
A0A8V0YDU6	2	FAT atypical cadherin 1 OS=Gallus gallus OX=9031 GN=FAT1 PE=1 SV=1	FAT1	Up	1.8363700852567555
A0A8V0YTC2	2	non-specific serine/threonine protein kinase OS=Gallus gallus OX=9031 GN=STK26 PE=1 SV=1	STK26	Down	0.5488347246149636
A0A8V1A803	2	MICOS complex subunit MIC25 OS=Gallus gallus OX=9031 GN=CHCHD6 PE=1 SV=1	CHCHD6	Up	2.7103781701970746
A0A8V1A5Y9	2	Phosphoinositide phospholipase C OS=Gallus gallus OX=9031 GN=PLCD1 PE=1 SV=1	PLCD1	Down	0.5217520919730221
A0A8V0ZJD3	2	3'-phosphoadenosine 5'-phosphosulfate synthase 2 OS=Gallus gallus OX=9031 GN=PAPSS2 PE=1 SV=1	PAPSS2	Up	2.151292106634519
A0A8V1A6X0	2	Secretogranin II OS=Gallus gallus OX=9031 GN=SCG2 PE=1 SV=1	SCG2	Down	0.1975742118945501
Q5ZKQ2	2	Quinoid dihydropteridine reductase OS=Gallus gallus OX=9031 GN=QDPR PE=1 SV=1	QDPR	Down	0.6363910758384871
A0A1D5NYL9	2	Leucine zipper protein 2 OS=Gallus gallus OX=9031 GN=LUZP2 PE=1 SV=1	LUZP2	Down	0.2470128969608919
A0A8V0YJ25	2	Ovalbumin-related protein Y (SERPINB14B) OS=Gallus gallus OX=9031 GN=OVALY PE=3 SV=1	OVALY	Down	0.011668151635557771
A0A8V0Y614	2	Ovalbumin-related protein X (SERPINB14C) OS=Gallus gallus OX=9031 GN=OVALX PE=3 SV=1	OVALX	Down	0.0184549539910122
A0A1D5P7R1	2	RNA transcription, translation and transport factor protein OS=Gallus gallus OX=9031 GN=RTRAF PE=1 SV=1	RTRAF	Down	0.186142670718464
A0A8V0ZZL0	2	Diacylglycerol kinase OS=Gallus gallus OX=9031 GN=DGKA PE=3 SV=1	DGKA	Down	0.31739647111407504
A0A8V1A3Y9	2	Fanconi anemia complementation group D2 OS=Gallus gallus OX=9031 GN=FANCD2 PE=4 SV=1	FANCD2	Down	0.5869307546283741
Q92182	2	Beta-galactoside alpha-2,6-sialyltransferase 1 OS=Gallus gallus OX=9031 GN=ST6GAL1 PE=1 SV=1	ST6GAL1	Up	2.0991088759257304
A0A8V0YU69	2	N-acetyltransferase domain-containing protein OS=Gallus gallus OX=9031 GN=LOC107056278 PE=3 SV=1	LOC107056278	Down	0.6183641109354009
A0A8V0Y7M8	2	Syntaxin binding protein 3 OS=Gallus gallus OX=9031 GN=STXBP3 PE=1 SV=1	STXBP3	Down	0.2618046567264606
A0A8V0Z3P5	2	Axonemal dynein light intermediate polypeptide 1 OS=Gallus gallus OX=9031 GN=DNALI1 PE=1 SV=1	DNALI1	Down	0.6192186283733124
A0A8V0XM21	2	Hemoglobin subunit epsilon 1 OS=Gallus gallus OX=9031 GN=HBBA PE=1 SV=1	HBBA	Down	0.14606798579401326
A0A8V0XS21	2	VWFC domain-containing protein OS=Gallus gallus OX=9031 GN=FRAS1 PE=1 SV=1	FRAS1	Up	3.0040423165564625
A0A3Q2U4G6	2	Microtubule-associated protein OS=Gallus gallus OX=9031 GN=MAP2 PE=4 SV=1	MAP2	Down	0.5857478998239927
A0A8V0YA55	2	Secreted frizzled-related protein 3 OS=Gallus gallus OX=9031 GN=FRZB PE=3 SV=1	FRZB	Down	0.4742710393953642
A0A8V0X8U3	2	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2 OS=Gallus gallus OX=9031 GN=ASAP2 PE=4 SV=1	ASAP2	Down	0.35289028730000793
A0A8V0XP02	2	interstitial collagenase OS=Gallus gallus OX=9031 GN=MMP1 PE=3 SV=1	MMP1	Down	0.1796874467006115
A0A8V0XAA5	2	ZP domain-containing protein OS=Gallus gallus OX=9031 GN=LINC00954 PE=1 SV=1	LINC00954	Up	2.9985942155163468
A0A8V0XMI5	2	High mobility group box 1 OS=Gallus gallus OX=9031 GN=HMGB1 PE=1 SV=1	HMGB1	Up	1.670387638420555
A0A8V0XL80	2	Spartin OS=Gallus gallus OX=9031 GN=SPG20 PE=1 SV=1	SPG20	Down	0.3964499057980799
A0A1D5P6Q1	2	protein-tyrosine-phosphatase OS=Gallus gallus OX=9031 GN=PTPN21 PE=3 SV=1	PTPN21	Up	1.970402696767516
A0A8V0YD10	2	Polyadenylate-binding protein OS=Gallus gallus OX=9031 GN=PABPC1 PE=1 SV=1	PABPC1	Down	0.4713182316465971
Q5F371	2	Protein strawberry notch homolog 1 OS=Gallus gallus OX=9031 GN=SBNO1 PE=2 SV=1	SBNO1	Down	0.4637756449016786
A0A8V0YHG3	2	ATP-dependent (S)-NAD(P)H-hydrate dehydratase OS=Gallus gallus OX=9031 GN=NAXD PE=1 SV=1	NAXD	Down	0.654215402674716
A0A8V0ZE99	2	Phospholipase A2 OS=Gallus gallus OX=9031 GN=PLA2G10 PE=3 SV=1	PLA2G10	Down	0.6174117689573084
A0A8V0YHC1	2	Collagen type VI alpha 1 chain OS=Gallus gallus OX=9031 GN=COL6A1 PE=4 SV=1	COL6A1	Down	0.2740162920355404
A0A8V0Z938	2	Xylosyltransferase 1 OS=Gallus gallus OX=9031 GN=XYLT1 PE=3 SV=1	XYLT1	Up	1.5275541469223708
A0A1D5P624	2	Ubiquilin 4 OS=Gallus gallus OX=9031 GN=UBQLN4 PE=1 SV=1	UBQLN4	Down	0.5056143446705564
A0A8V0Y3L3	2	Superoxide dismutase [Cu-Zn] OS=Gallus gallus OX=9031 GN=SOD3 PE=1 SV=1	SOD3	Up	2.2799198342025555
A0A8V0ZL52	2	Zinc finger CCCH-type containing, antiviral 1 OS=Gallus gallus OX=9031 GN=ZC3HAV1 PE=1 SV=1	ZC3HAV1	Down	0.6236958162819342
A0A8V0XXW6	2	Poly(U) binding splicing factor 60 OS=Gallus gallus OX=9031 GN=PUF60 PE=1 SV=1	PUF60	Up	4.007571210516969
A0A1D5P7C1	2	Uncharacterized protein OS=Gallus gallus OX=9031 GN=CASP1 PE=1 SV=1	CASP1	Down	0.29876028524410314
P02460	2	Collagen alpha-1(II) chain (Fragment) OS=Gallus gallus OX=9031 GN=COL2A1 PE=2 SV=2	COL2A1	Up	1.9154379878577623
A0A8V0YLZ8	2	Myocilin OS=Gallus gallus OX=9031 GN=MYOC PE=4 SV=1	MYOC	Up	1.6080877736698922
A0A3Q2U263	2	RAB11 family interacting protein 1 OS=Gallus gallus OX=9031 GN=RAB11FIP1 PE=1 SV=1	RAB11FIP1	Down	0.6278563790918211
A0A8V0YY54	2	Lamin-L(III) OS=Gallus gallus OX=9031 GN=LMNAL PE=1 SV=1	LMNAL	Down	0.3476545023696683
A0A1D5P8I3	2	Splicing factor proline and glutamine rich OS=Gallus gallus OX=9031 GN=SFPQ PE=1 SV=2	SFPQ	Down	0.4382333395069126
A0A8V0ZEC1	2	COP9 signalosome subunit 7A OS=Gallus gallus OX=9031 GN=COPS7A PE=1 SV=1	COPS7A	Up	2.3875356772184753
A0A8V1A8R0	2	Pancreatic polypeptide OS=Gallus gallus OX=9031 GN=PPY PE=1 SV=1	PPY	Down	0.18874246798579608
A0A8V1AAN6	2	Tenascin C OS=Gallus gallus OX=9031 GN=TNC PE=3 SV=1	TNC	Up	1.794873256781874
F1NSM7	2	Ovocleidin-116 OS=Gallus gallus OX=9031 PE=1 SV=1	--	Down	0.4500485344196557
A0A8V0ZZA5	2	IF rod domain-containing protein OS=Gallus gallus OX=9031 GN=LOC112529929 PE=1 SV=1	LOC112529929	Down	0.22998510440965686
A0A8V0Z9Z7	2	Centromere protein F OS=Gallus gallus OX=9031 GN=CENPF PE=4 SV=1	CENPF	Up	4.023302534524811
A0A8V1AKZ9	2	Septin OS=Gallus gallus OX=9031 GN=SEPTIN4 PE=3 SV=1	SEPTIN4	Down	0.5370280680777643
A0A8V0ZDV1	2	Neuroendocrine protein 7B2 OS=Gallus gallus OX=9031 GN=SCG5 PE=3 SV=1	SCG5	Down	0.6560677159343496
A0A8V0XPM1	2	Sorting nexin OS=Gallus gallus OX=9031 GN=SNX9 PE=1 SV=1	SNX9	Down	0.6413141256964693
A0A8V0Z2F8	2	Aldehyde dehydrogenase OS=Gallus gallus OX=9031 GN=ALDH1A3 PE=1 SV=1	ALDH1A3	Down	0.4668421148820294
A0A1L1RT39	2	Radial spoke head 3 OS=Gallus gallus OX=9031 GN=RSPH3 PE=3 SV=1	RSPH3	Down	0.5106676264722549
A0A8V0ZAP0	2	Golgin A3 OS=Gallus gallus OX=9031 GN=GOLGA3 PE=1 SV=1	GOLGA3	Up	2.3092323383347275
A0A8V0XMD4	2	Crystallin lambda 1 OS=Gallus gallus OX=9031 GN=CRYL1 PE=1 SV=1	CRYL1	Down	0.24881336537361254
A0A8V1ABP6	2	Protein S100-A10 OS=Gallus gallus OX=9031 GN=LOC121107546 PE=1 SV=1	LOC121107546	Down	0.4936429671501791
A0A8V0XF06	2	Hemoglobin subunit epsilon 1 OS=Gallus gallus OX=9031 GN=HBBA PE=1 SV=1	HBBA	Down	0.3519702636716691
A0A1D5PWK2	2	ADP-ribosylation factor-like protein 6 OS=Gallus gallus OX=9031 GN=CRYBG3 PE=1 SV=2	CRYBG3	Down	0.6146454602199576
A0A8V0YQL8	2	Sorting nexin 3 OS=Gallus gallus OX=9031 GN=SNX3 PE=1 SV=1	SNX3	Down	0.6002602828864003
Q98932	2	Ras-related protein Rab-5C OS=Gallus gallus OX=9031 GN=RAB5C PE=1 SV=1	RAB5C	Down	0.6339753056652301
Q5ZJT7	2	Elongin-C OS=Gallus gallus OX=9031 GN=TCEB1 PE=1 SV=1	TCEB1	Down	0.5384728006873515
A0A8V0X163	2	Profilin OS=Gallus gallus OX=9031 GN=PFN2 PE=1 SV=1	PFN2	Down	0.3824914287982455
A0A8V0YVP9	2	Growth arrest specific 6 OS=Gallus gallus OX=9031 GN=GAS6 PE=1 SV=1	GAS6	Down	0.5795854024748781
A0A8V0Z6Q2	2	Ketimine reductase mu-crystallin OS=Gallus gallus OX=9031 GN=CRYM PE=1 SV=1	CRYM	Down	0.5105686610904897
O42273	2	Protein TENP OS=Gallus gallus OX=9031 GN=TENP PE=1 SV=1	TENP	Down	0.013075701545680829
